k,n,mask_type,implementation,round,repetitions,elapsed_ns,ns_per_call
11,2048,all_true,numpy,10,16557,18926292,1143.0991121579996
11,2048,all_true,python,10,132,21354500,161776.51515151514
18,262144,random_50pct,python,10,1,21534209,21534209.0
18,262144,random_50pct,numpy,10,257,20097958,78202.17120622568
8,256,all_true,numpy,10,32000,18647417,582.73178125
8,256,all_true,python,10,1127,21178000,18791.48181011535
14,16384,random_50pct,numpy,10,3583,19323458,5393.094613452414
14,16384,random_50pct,python,10,15,20214167,1347611.1333333333
20,1048576,all_true,python,10,1,83248000,83248000.0
20,1048576,all_true,numpy,10,56,17976167,321002.98214285716
2,4,all_true,numpy,10,36901,17604084,477.06251863093144
2,4,all_true,python,10,36901,19514542,528.8350451207284
6,64,random_50pct,numpy,10,36901,18428417,499.401560933308
6,64,random_50pct,python,10,4175,21676583,5191.995928143712
17,131072,random_50pct,numpy,10,507,20106417,39657.62721893491
17,131072,random_50pct,python,10,2,23135416,11567708.0
4,16,random_50pct,numpy,10,34306,16555834,482.59295750014576
4,16,random_50pct,python,10,14546,21287125,1463.4349649388148
15,32768,all_true,python,10,8,20745667,2593208.375
15,32768,all_true,numpy,10,1928,19781125,10259.91960580913
13,8192,random_50pct,python,10,30,20244500,674816.6666666666
13,8192,random_50pct,numpy,10,5647,19131917,3387.9789268638215
14,16384,all_true,numpy,10,3556,19863292,5585.852643419573
14,16384,all_true,python,10,16,20758208,1297388.0
16,65536,all_true,python,10,4,20724416,5181104.0
16,65536,all_true,numpy,10,1000,19833083,19833.083
7,128,all_true,numpy,10,34247,18651875,544.627996612842
7,128,all_true,python,10,2223,21248458,9558.460638776429
18,262144,all_true,python,10,1,20725542,20725542.0
18,262144,all_true,numpy,10,257,20133917,78342.08949416342
4,16,all_true,python,10,15004,20990625,1399.0019328179153
4,16,all_true,numpy,10,36901,17797625,482.3073900436303
9,512,all_true,numpy,10,28249,19224291,680.5299656625014
9,512,all_true,python,10,543,21222125,39083.103130755066
8,256,random_50pct,python,10,1072,21457791,20016.596082089553
8,256,random_50pct,numpy,10,32000,18660292,583.134125
1,2,random_50pct,python,10,32000,12104916,378.278625
1,2,random_50pct,numpy,10,22858,10852875,474.79547641963427
12,4096,random_50pct,numpy,10,9795,17020875,1737.71056661562
12,4096,random_50pct,python,10,59,19859250,336597.4576271186
20,1048576,random_50pct,python,10,1,86756291,86756291.0
20,1048576,random_50pct,numpy,10,49,16463750,335994.89795918367
11,2048,random_50pct,python,10,128,21557291,168416.3359375
11,2048,random_50pct,numpy,10,16543,18391208,1111.721453182615
12,4096,all_true,numpy,10,10912,18894666,1731.5493035190616
12,4096,all_true,python,10,61,19633250,321856.5573770492
3,8,random_50pct,python,10,23981,20170334,841.0964513573246
3,8,random_50pct,numpy,10,36901,17287708,468.4888756402265
