split,P,mutation_multiplier,p,B,calibration_successes,calibration_success_rate,target_deviation
89,4,0.5,0.025,160,8,0.5,0.0
90,4,1.0,0.05,80,6,0.375,0.125
91,4,0.5,0.025,160,8,0.5,0.0
92,4,0.5,0.025,160,6,0.375,0.125
93,4,0.5,0.025,160,8,0.5,0.0
94,4,2.0,0.1,160,8,0.5,0.0
95,4,0.5,0.025,160,7,0.4375,0.0625
96,4,0.5,0.025,160,8,0.5,0.0
97,4,0.5,0.025,160,8,0.5,0.0
98,4,0.5,0.025,160,8,0.5,0.0
99,4,2.0,0.1,160,7,0.4375,0.0625
100,12,2.0,0.1,320,8,0.5,0.0
101,4,2.0,0.1,160,9,0.5625,0.0625
102,4,0.5,0.025,160,8,0.5,0.0
103,4,2.0,0.1,160,8,0.5,0.0
104,4,0.5,0.025,160,7,0.4375,0.0625
105,4,0.5,0.025,160,7,0.4375,0.0625
106,4,1.0,0.05,160,8,0.5,0.0
107,4,0.5,0.025,160,7,0.4375,0.0625
108,4,1.0,0.05,160,8,0.5,0.0
109,4,0.5,0.025,160,7,0.4375,0.0625
110,4,1.0,0.05,160,9,0.5625,0.0625
111,4,0.5,0.025,160,9,0.5625,0.0625
112,4,0.5,0.025,160,9,0.5625,0.0625
113,4,0.5,0.025,160,8,0.5,0.0
114,4,2.0,0.1,160,8,0.5,0.0
115,4,0.5,0.025,160,8,0.5,0.0
116,4,0.5,0.025,160,7,0.4375,0.0625
117,4,2.0,0.1,160,8,0.5,0.0
118,4,0.5,0.025,160,7,0.4375,0.0625
119,4,1.0,0.05,160,9,0.5625,0.0625
